	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
0	Codrington	0	AU	1552967237	40	153.24	-28.95	32.78	1.5
1	Ushuaia	40	AR	1552964400	100	-68.31	-54.81	5.0	11.3
2	Bull Savanna	0	JM	1552967521	86	-77.59	17.89	19.01	0.32
3	Dikson	80	RU	1552967400	96	80.55	73.51	-3.59	6.87
4	New Norfolk	75	AU	1552967474	64	147.06	-42.78	22.78	4.6
5	Jamestown	64	AU	1552967254	84	138.6	-33.21	25.21	2.42
6	Clinton	1	US	1552967494	86	-90.19	41.84	2.22	1.62
7	Shimoda	75	JP	1552967411	48	138.93	34.7	17.22	4.1
8	Port Alfred	44	ZA	1552967223	96	26.89	-33.59	21.11	0.45
9	Sovetskiy	0	RU	1552967524	81	48.47	56.76	-7.09	3.52
10	Kaitangata	0	NZ	1552967524	76	169.85	-46.28	19.41	2.67
11	Klaksvik	92	FO	1552965600	100	-6.59	62.23	7.0	7.7
12	Tiksi	0	RU	1552967524	78	128.87	71.64	-24.74	2.07
13	Atuona	56	PF	1552967399	98	-139.03	-9.8	28.41	6.57
14	Saint-Philippe	1	CA	1552967449	53	-73.48	45.36	-3.89	1.0
15	Lompoc	1	US	1552967470	62	-120.46	34.64	15.0	2.1
16	Grindavik	75	IS	1552967199	86	-22.43	63.84	4.0	9.8
17	Cape Town	0	ZA	1552967219	93	18.42	-33.93	18.89	2.1
18	Te Anau	0	NZ	1552967526	65	167.72	-45.41	21.16	1.42
19	Pacific Grove	75	US	1552967526	81	-121.92	36.62	14.44	3.1
20	Tilichiki	0	RU	1552967526	83	166.1	60.47	-15.09	1.77
21	San Patricio	12	PY	1552967301	92	-56.83	-26.98	19.51	0.52
22	Rikitea	44	PF	1552967527	100	-134.97	-23.12	25.76	8.72
23	Broken Hill	44	AU	1552964400	17	141.45	-31.97	33.0	4.1
24	Tabou	0	CI	1552967481	96	-7.36	4.42	28.76	5.37
25	Alekseyevsk	24	RU	1552967486	59	108.35	57.84	-7.69	1.62
26	Castro	64	CL	1552964400	87	-73.76	-42.48	6.0	2.6
27	Snasa	80	NO	1552967528	82	12.38	64.25	-2.59	2.12
28	Eureka	90	US	1552967234	100	-124.16	40.8	12.78	0.77
29	Los Alamos	75	US	1552967449	33	-106.3	35.88	7.0	3.6
30	Salalah	0	OM	1552963800	14	54.1	17.01	27.0	4.6
31	Saskylakh	36	RU	1552967529	66	114.09	71.97	-25.99	1.87
32	Punta Arenas	75	CL	1552966990	75	-70.91	-53.16	5.0	4.1
33	Kapaa	40	US	1552967299	50	-159.32	22.08	24.0	6.7
34	Carnarvon	0	ZA	1552967530	84	22.13	-30.97	10.16	1.32
35	Bethel	1	US	1552964160	73	-161.76	60.79	-6.0	6.2
36	Ulladulla	75	AU	1552967437	73	150.48	-35.36	25.0	7.2
37	Upernavik	24	GL	1552967452	100	-56.15	72.79	-24.49	1.47
38	Husavik	48	CA	1552967444	91	-96.99	50.56	-2.22	1.37
39	East London	0	ZA	1552964400	94	27.91	-33.02	21.0	1.5
40	Tasiilaq	32	GL	1552963800	86	-37.64	65.61	-3.0	4.6
41	Pisco	0	PE	1552964400	77	-76.2	-13.71	21.0	6.7
42	Rocha	0	UY	1552967531	89	-54.34	-34.48	16.81	2.77
43	Bluff	8	AU	1552967333	66	149.07	-23.58	30.96	1.97
44	Qaanaaq	0	GL	1552967533	91	-69.36	77.48	-34.24	3.32
45	Togitsu	20	JP	1552967308	59	129.83	32.83	16.0	6.2
46	Tomari	0	RU	1552967534	76	142.06	47.76	-3.19	10.57
47	Vaini	0	IN	1552964400	24	74.49	15.34	26.0	1.5
48	Katsina	0	NG	1552967534	27	7.6	12.99	22.66	4.77
49	Thompson	40	CA	1552964400	85	-97.86	55.74	-4.0	1.0
50	Dingle	48	PH	1552967535	70	122.67	11.0	28.31	6.37
51	Clyde River	90	CA	1552966860	75	-68.59	70.47	-25.0	11.3
52	Shieli	64	KZ	1552967536	55	66.74	44.18	4.41	7.22
53	Hermanus	64	ZA	1552967219	95	19.24	-34.42	17.78	1.37
54	Berea	1	US	1552967403	74	-81.85	41.37	-0.57	2.6
55	Pevek	64	RU	1552967270	95	170.27	69.7	-20.79	13.02
56	Bredasdorp	88	ZA	1552964400	94	20.04	-34.53	21.0	1.5
57	Mackay	1	CA	1552967220	51	-115.58	53.65	7.0	0.92
58	Quatre Cocos	75	MU	1552967343	83	57.76	-20.21	27.0	4.1
59	Saint Anthony	1	US	1552967447	55	-111.68	43.97	3.0	1.5
60	Georgetown	0	GY	1552964400	88	-58.16	6.8	23.0	2.1
